Date,Sale
1-Jan-16,155600
1-Feb-16,199620
1-Mar-16,150100
1-Apr-16,141560
1-May-16,165800
1-Jun-16,200500
1-Jul-16,163000
1-Aug-16,193500
1-Sep-16,165200
1-Oct-16,156060
1-Nov-16,201650
1-Dec-16,126505
1-Jan-17,96560
1-Feb-17,156400
1-Mar-17,159800
1-Apr-17,151600
1-May-17,203100
1-Jun-17,158000
1-Jul-17,164800
1-Aug-17,200900
1-Sep-17,158640
1-Oct-17,162500
1-Nov-17,194050
1-Dec-17,138500
1-Jan-18,142660
1-Feb-18,163520
1-Mar-18,156700
1-Apr-18,142100
1-May-18,203800
1-Jun-18,156800
1-Jul-18,163500
1-Aug-18,201100
1-Sep-18,151800
1-Oct-18,196600
1-Nov-18,142550
1-Dec-18,136500
1-Jan-19,135480
1-Feb-19,146500
1-Mar-19,85120
1-Apr-19,98500
1-May-19,185600
1-Jun-19,146800
1-Jul-19,196020
1-Aug-19,151980
1-Sep-19,149600
1-Oct-19,192600
1-Nov-19,161020
1-Dec-19,124100
1-Jan-20,142050
1-Feb-20,156700
1-Mar-20,120460
1-Apr-20,92000
1-May-20,156840
1-Jun-20,142050
1-Jul-20,203500
1-Aug-20,158610
1-Sep-20,201650
1-Oct-20,148900
1-Nov-20,160015
1-Dec-20,132500
1-Jan-21,148470
1-Feb-21,154755
1-Mar-21,159030
1-Apr-21,149300
1-May-21,202600
1-Jun-21,139250
1-Jul-21,160675
1-Aug-21,170700
1-Sep-21,142000
1-Oct-21,200880
1-Nov-21,138110
1-Dec-21,118000
1-Jan-22,176665
1-Feb-22,149985
3/1/2022,171525
