Date,Sale
2016-01,155600
2016-02,199620
2016-03,150100
2016-04,141560
2016-05,165800
2016-06,200500
2016-07,163000
2016-08,193500
2016-09,165200
2016-10,156060
2016-11,201650
2016-12,126505
2017-01,96560
2017-02,156400
2017-03,159800
2017-04,151600
2017-05,203100
2017-06,158000
2017-07,164800
2017-08,200900
2017-09,158640
2017-10,162500
2017-11,194050
2017-12,138500
2018-01,142660
2018-02,163520
2018-03,156700
2018-04,142100
2018-05,203800
2018-06,156800
2018-07,163500
2018-08,201100
2018-09,151800
2018-10,196600
2018-11,142550
2018-12,136500
2019-01,135480
2019-02,146500
2019-03,85120
2019-04,98500
2019-05,185600
2019-06,146800
2019-07,196020
2019-08,151980
2019-09,149600
2019-10,192600
2019-11,161020
2019-12,124100
2020-01,142050
2020-02,156700
2020-03,120460
2020-04,92000
2020-05,156840
2020-06,142050
2020-07,203500
2020-08,158610
2020-09,201650
2020-10,148900
2020-11,160015
2020-12,132500
2021-01,148470
2021-02,154755
2021-03,159030
2021-04,149300
2021-05,202600
2021-06,139250
2021-07,160675
2021-08,170700
2021-09,142000
2021-10,200880
2021-11,138110
2021-12,118000
2022-01 ,176665
2022-02,149985
2022-03,156300
